File PDB Lig iFull Full7 iFull5 blFull4 blFull2 bliFull6 Full5 iFull4 Full4 iFull1 Full3 iFull6 blFull3 blFull blFull1 bliFull2 bliFull1 Full2 blFull5 Full6 bliFull blFull7 bliFull7 blFull6 bliFull4 bliFull5 iFull7 iFull3 Full1 iFull2 bliFull3 Full
pdb/renum/1F88/1F88_A_holo.pdb 1F88 1F88 inverse_agonist 9.53495391428572 5.77131084615385 10.1913078 -0.231878291666667 -0.1146741 -0.0752065999999996 6.26606768571429 9.0038026 5.32127795833333 11.5818412 4.71733636111111 20.429061 -0.80562475 -0.488841418181818 -0.15574521875 -0.0173228000000002 -0.0959344000000003 3.50887406666667 -0.446103514285714 7.12133556756757 -0.0582642857142857 -1.06318080769231 -0.0340708000000001 -0.575598594594594 -0.0787643999999997 -0.0551142 4.7466228 6.7852686 6.63315946875 4.0067734 -0.0514368000000001 5.67235441818182
pdb/renum/1GZM/1GZM_A_holo.pdb 1GZM 1GZM inverse_agonist 12.5628628 5.7776705 25.2811568 -0.264917041666667 -0.129502166666667 -0.0977141999999993 8.99059202631579 10.0105652 5.64573645833333 12.1706906 4.99656652777778 23.8462454 -0.899739361111111 -0.535844683035714 -0.171368875 -0.020186 -0.1151496 3.7045793 -0.514547210526316 7.81171621052631 -0.0876817999999999 -0.970590038461538 -0.0437878 -0.713778394736842 -0.0996266000000002 -0.167822199999999 4.8942232 7.513752 6.8091129375 4.2234064 -0.0694862000000001 6.39781343303572
pdb/renum/1HZX/1HZX_A_holo.pdb 1HZX 1HZX inverse_agonist 8.51141825714286 6.08883142307692 9.0079828 -0.207200791666667 -0.124456833333333 -0.055165200000001 6.03672768571429 9.6305226 5.43384295833333 11.4585044 4.81427794444444 13.5585432 -0.762717416666667 -0.419974555045872 -0.12795078125 -0.0138102 -0.0767546000000003 3.52066336666667 -0.382840371428571 6.03127882857143 -0.0488580285714288 -0.756333923076923 -0.0255209999999997 -0.520902342857143 -0.0675112000000004 -0.0521304000000002 4.7908534 6.9875136 6.4606321875 4.1460078 -0.0511136000000001 5.48979914220183
pdb/renum/1L9H/1L9H_A_holo.pdb 1L9H 1L9H inverse_agonist 8.7213132 6.61387661538461 9.9981394 -0.0700870416666666 -0.0337325666666668 -0.0488412000000002 6.2224572 10.2195996 5.625502875 11.6779754 5.26367572222222 13.7765904 -0.252806361111111 -0.22312630733945 -0.090492625 -0.0128002 -0.0691734000000002 3.52588813333333 -0.451738885714286 6.15266154285714 -0.055699142857143 -0.203080538461539 -0.0522872 -0.3674206 -0.0643877999999996 -0.0613610000000008 4.796894 6.4839702 6.4250465625 4.0960234 -0.0810432000000002 5.69253429816514
pdb/renum/1U19/1U19_A_holo.pdb 1U19 1U19 inverse_agonist 10.0466046857143 5.85309211538462 14.1455386 -0.276236916666667 -0.137128633333333 -0.0857997999999998 6.67251139473684 9.5013228 5.419360375 12.4774212 4.74223975 18.3014696 -0.998140472222222 -0.560905504464285 -0.166742875 -0.0217476 -0.1081594 3.61706056666667 -0.506213394736842 6.62972173684211 -0.0722064285714285 -1.03849392307692 -0.0424538000000001 -0.720881789473684 -0.0967743999999996 -0.0952556000000003 4.9731382 6.5815034 6.8725534375 4.345839 -0.0552543999999999 5.74501812946429
pdb/renum/2G87/2G87_A_holo.pdb 2G87 2G87 agonist 10.0957848 5.76346234615384 14.544223 -0.256926958333333 -0.119270466666667 -0.0663 6.75519878947369 9.666011 5.51025054166667 12.3959948 5.01344719444444 18.084145 -0.756092277777778 -0.500483455357143 -0.15403390625 -0.0197897999999998 -0.0997840000000002 3.63988643333333 -0.467645394736842 6.67644557894737 -0.0624554285714285 -1.12067096153846 -0.0372160000000002 -0.613356736842105 -0.0831957999999997 -0.084139 4.9745392 6.6392138 6.8835581875 4.3663668 -0.0467633999999999 5.81452265178571
pdb/renum/2HPY/2HPY_A_holo.pdb 2HPY 2HPY agonist 10.0236427714286 5.99192807692308 13.5596274 -0.274706333333333 -0.144813133333333 -0.0707788000000004 6.86353478947368 10.034001 5.82079291666667 12.5296236 5.33241213888889 18.0468176 -0.799823777777778 -0.540357151785715 -0.18060209375 -0.0249650000000001 -0.1210078 3.78578783333333 -0.530078342105263 6.88933584210526 -0.0716398285714286 -1.17218111538462 -0.0465174 -0.655527552631579 -0.0948864000000002 -0.0871183999999996 4.8777768 6.707048 7.0745456875 4.410605 -0.0562050000000001 6.02689365178572
pdb/renum/2I35/2I35_A_holo.pdb 2I35 2I35 inverse_agonist 12.3580516857143 6.49465753846154 22.7116478 -0.097858875 -0.0659548999999999 -0.0849079999999994 8.47239510526316 11.4685576 6.11722925 13.1563908 5.67847002777778 22.5182036 -0.301879083333333 -0.306690491071428 -0.153781375 -0.0199494 -0.1447864 3.68982206666667 -0.575081210526316 7.79884452631579 -0.114072342857143 -0.263379307692308 -0.0823446 -0.523205552631579 -0.0680153999999998 -0.2952072 4.8305556 7.3062384 7.20454025 4.514768 -0.1032954 6.60556506696429
pdb/renum/2J4Y/2J4Y_A_holo.pdb 2J4Y 2J4Y inverse_agonist 11.6691662857143 6.10041842307692 20.746642 -0.21387125 -0.0933315666666666 -0.0672699999999992 7.82393078947368 11.1133986 5.99011933333333 13.462075 5.42629266666667 20.4459756 -0.828755722222222 -0.432246392857143 -0.1453928125 -0.0178266000000001 -0.1140246 3.9572473 -0.367629736842105 7.5283892631579 -0.064792657142857 -0.876693307692308 -0.0330022000000001 -0.464173763157895 -0.0782019999999999 -0.098133 5.139449 6.132212 7.3414729375 4.6444118 -0.0450901999999997 6.40514729464286
pdb/renum/2PED/2PED_A_holo.pdb 2PED 2PED inverse_agonist 10.1061747142857 6.60862580769231 14.8779102 -0.0829672916666666 -0.0433699 -0.0545522000000005 6.76339739473684 10.0383368 5.81589029166667 12.4373132 5.47479858333333 17.8901852 -0.289242888888889 -0.237708955357143 -0.0997475625000001 -0.0164382 -0.0749500000000007 3.72540986666667 -0.410003105263158 6.79979673684211 -0.0562030571428573 -0.238413192307692 -0.0514964000000002 -0.3834465 -0.0736931999999999 -0.0507169999999997 4.7469384 6.5035126 6.97374309375 4.2490266 -0.0715743999999999 6.06616892410714
pdb/renum/2RH1/2RH1_A_holo.pdb 2RH1 2RH1 inverse_agonist 10.9184951714286 6.38174258333333 10.2108788 -0.167362 -0.0566403333333333 -0.0483227999999997 5.2942606969697 10.6712144 5.97389457692308 12.7535934 5.44033413888889 22.7000146 -0.433939527777778 -0.379977248826291 -0.0764935806451612 -0.0240110000000002 -0.0560701999999996 3.88642653333333 -0.898264606060606 6.90116196969697 -0.0476359142857141 -0.582449875 -0.0308903999999999 -0.402117545454545 -0.0884938 -0.0557545999999999 5.2645704 9.5873876 9.506891 5.241807 -0.0299085999999997 6.18821819248826
pdb/renum/2VT4/2VT4_B_holo.pdb 2VT4 2VT4 antagonist 9.87755377142857 6.80383233333333 13.4288126 -0.144413692307692 -0.0524018333333333 -0.0388679999999999 6.42322175757576 10.7280112 5.94864273076923 13.5385758 6.03314938888889 10.0134764 -0.475578777777778 -0.439066956097561 -0.0705270344827587 -0.0184227999999999 -0.0359765999999999 4.0649269 -1.21417003030303 4.99317237037037 -0.0417698571428572 -0.447486875 -0.0297685999999999 -0.544759222222222 -0.0634262000000001 -0.0664108000000009 5.1740348 10.7109988 8.9594625862069 5.5489668 -0.0395159999999997 6.1644110195122
